"Metoph Architects & Interiors","","","REVISED INTERIOR ESTIMATE FOR MS.RINKI SINGH,                                                                             SECT-132,GR.NOIDA  (07/10/2023)","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","Office:     D-41,Second Floor,Sector-59,Noida- 201301","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","Mob:       +91- 9634494116 ,   +91- 8791758757","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","Email:      metopharchitects@gmail.com","","","","","","","","",""
"S.NO.","AREAS","DESCRIPTION","UNIT","QUANTITY","UNIT RATE","AMOUNT","UNIT PRICE","","","","",""
"1","DISMENTLING AND DEBRIS","","","","","","","","","","",""
"A","Dismentling and debris of exisitng partition Walls and site cleaning","as/Site Visit","lumsum","lumsum","lumsum","20000","","","","","",""
"2","CIVIL WORK","","","","","","","","","","",""
"A","Screeding work","providing 1:4 (cement : sand) 100mm thick mortar for exisitng floor leveling and smooth surface                                                 (as/site requirement)","lumsum","","","300000","","","","","",""
"B","IPS flooring","providing 5 to 6mm thick IPS flooring for Carpet Area.","","","","","","","","","",""
"C","Brick Work For Toilets And Pantrya and cafeteria","providing first class brick work with 4.5 and 9"""" thick with rough plaster finish for Tile work. (as/drawing) also providing ledge wall for Wall Hung WC Cistern","","","","","","","","","",""
"D","RCC Lintel Beam","providing RCC Lintel Beam For Door Support at +8' lvl","","","","","","","","","",""
"E","Water proofing for toilet and Pantry","providing DR. Fixit Water proofing chemical for toilets and pantry","","","","","","","","","",""
"F","plaster work","providing 1:4 (cement : sand) 12mm thick plaster on exisiting wall (as/site)","","","","","","","","","",""
"G","granite Ledge for Balcony area","18- 25 mm thick granite ledge for Balcony area","","","","","","","","","",""
"E","Raised Floor For Pantry + Café + Server Room","100mm high PCC floor for raised plateform for 75mm pipes for water line","","","","","","","","","",""
"3","FLOORING","","","","","","","","","","",""
"a","Floor Tiles","Providing Fixing of (4'x2' , 8"" x 4' ) vitrified Tile with labour and required fixing material.                                                                                                                                          As/3D theme and design                                                                                                                                                    Make - Kajaria,Somani, Varmoura,Granicer same as other                                                                                                                                          Tile Cost - up to 80/- sqft.","sqft","4000","170","680000","","","","","",""
"b","balcony's Floor Tiles (6 nos.)","Providing Fixing of (1'x1/18""x18"" / 8"" x 4' ) vitrified Tile with labour and required fixing material.                                                                                                        As/3D theme and design                                                                                                                                                                        Make - Kajaria,Somani, Varmoura,Granicer same as other                                                                                                                                                   Tile Cost - up to 70/- sqft.","sqft","450","150","67500","","","","","",""
"TOTAL  (A)","","","","","","747500","","","","","",""
"4","PARTITION WALL","","","","","","","","","","",""
"A","75mm thick Gypsum Partition (as/layout)                                  (up to Ceiling 13' high As/site)","providing and fixing of gypsum partition                                                                                                                                          (50mm x 50 mm GI section with both side 12mm gypsym board with joint plaster)","per sqft","2500","95","237500","","","","","",""
"B","12mm thick toughned glass Door with Required black profile channel with Fittings (as/layout)","","per pcs","17","21000","357000","","","","","",""
"C","12mm thick toughned glass partition with  black powder coated profile with glass                                                                 (as/layout)                                                                                                                       (up to 8' high from floor finish lvl)","12mm thick tougned Glass partition with Required Fittings (Make - saint Gobain,Modi same as other)                                                                                                                                            note - exisitng front glass will remain same","per sqft","900","650","585000","","","","","",""
"D","frosted film on glass partiton                                                                                                      ( 4 feet high )","as/design","per sqft","1000","40","40000","","","","","",""
"TOTAL  (B)","","","","","","1219500","","","","","",""
"5","DIRECTOR'S TOILET","","","","","","","","","","",""
